Batch #,Measured PL,Predicted PL,Accuracy PL,Measured FL,Predicted FL,Accuracy FL,Measured SL,Predicted SL,Accuracy SL,Measured PSL,Predicted PSL,Accuracy PSL,Measured FSL,Predicted FSL,Accuracy FSL,Measured PL Equivalent,Predicted PL Equivalent,Accuracy PL Equivalent
1,0.1285,0.30473157565451,-0.3715,0.1215,0.102689696020241,0.8452,0.4554,0.304268814543963,0.6681,0.2466,0.177883626470611,0.7213,0.1246,0.132667326156563,0.9353,0.30473157565451,0.331645562660939,0.9117
2,0.1361,0.300390209237423,-0.2071,0.1263,0.100577842733861,0.7963,0.3658,0.299689646520161,0.8193,0.2508,0.17484245250459,0.6971,0.1236,0.116731104028599,0.9444,0.300390209237423,0.325967973078825,0.9149
3,0.1461,0.32610343414607,-0.2321,0.1207,0.114658236203411,0.9499,0.3252,0.310712429384991,0.9555,0.2302,0.179908430554737,0.7815,0.1225,0.150822903621634,0.7688,0.32610343414607,0.340280510286745,0.9565
4,0.1409,0.309066167207003,-0.1935,0.1256,0.103215285681335,0.8218,0.3821,0.306284184006226,0.8016,0.2071,0.17872863733464,0.8630,0.139,0.14258350044968,0.9742,0.309066167207003,0.328372437919072,0.9375
5,0.1309,0.303224230595297,-0.3165,0.1139,0.101753521887946,0.8934,0.4202,0.30217687448652,0.7191,0.1982,0.176189177700933,0.8889,0.1337,0.117132942456744,0.8761,0.303224230595297,0.328013116115911,0.9182
6,0.1053,0.318840586428858,-1.0279,0.1876,0.110450948407495,0.5888,0.3949,0.312778017403067,0.7920,0.2129,0.182030620980765,0.8550,0.1027,0.133482945198958,0.7003,0.318840586428858,0.323970089779311,0.9839
7,0.1135,0.322105051889587,-0.8379,0.1037,0.109352806557013,0.9455,0.3744,0.318347343783107,0.8503,0.2113,0.185147304004899,0.8762,0.1321,0.139906981440528,0.9409,0.322105051889587,0.335985775544113,0.9569
8,0.1447,0.306035959998197,-0.1150,0.1235,0.102308188013768,0.8284,0.5606,0.305675742708623,0.5453,0.1869,0.178451001286238,0.9548,0.1212,0.143095021514892,0.8193,0.306035959998197,0.328825294688499,0.9255
9,0.1161,0.306699312555609,-0.6417,0.1233,0.104706245867185,0.8492,0.3821,0.300878126050153,0.7874,0.2114,0.174964719771054,0.8276,0.1085,0.14702865167309,0.6449,0.306699312555609,0.331022406388733,0.9207
10,0.1168,0.31491423007497,-0.6962,0.1173,0.105803027568903,0.9020,0.3127,0.31245548761009,0.9992,0.2117,0.182080508105708,0.8601,0.1235,0.121537182434666,0.9841,0.31491423007497,0.328347221850477,0.9573
11,0.1305,0.312960562388505,-0.3982,0.1127,0.106729371539628,0.9470,0.339,0.304110631646069,0.8971,0.2426,0.176389712487981,0.7271,0.1254,0.150443777029199,0.8003,0.312960562388505,0.327751237034955,0.9527
12,0.147,0.308823086545443,-0.1008,0.1023,0.104857369860957,0.9750,0.4202,0.303338711230914,0.7219,0.2326,0.176757840919353,0.7599,0.1344,0.129957796213372,0.9669,0.308823086545443,0.326687363108037,0.9422
13,0.1228,0.313406727862653,-0.5522,0.1233,0.10532253464699,0.8542,0.3619,0.310944389565187,0.8592,0.2214,0.181242109270207,0.8186,0.1303,0.12111176838709,0.9295,0.313406727862653,0.343750054286821,0.9032
14,0.1219,0.308120753568223,-0.5277,0.1051,0.103440743666181,0.9842,0.3906,0.306350017986376,0.7843,0.1913,0.178755564438778,0.9344,0.1037,0.13796143508235,0.6696,0.308120753568223,0.326920997197484,0.9390
15,0.1227,0.305399046535981,-0.4890,0.1219,0.102954191290456,0.8446,0.3139,0.302982667072071,0.9652,0.21,0.176327060962687,0.8397,0.1274,0.14966370925465,0.8252,0.305399046535981,0.326423466904756,0.9312
16,0.1288,0.317993093262982,-0.4689,0.0985,0.110593624360582,0.8772,0.609,0.310223030684497,0.5094,0.2084,0.180041068625139,0.8639,0.1213,0.16384455171614,0.6493,0.317993093262982,0.330434922368537,0.9609
17,0.1277,0.303769038918764,-0.3788,0.1105,0.103103851759946,0.9331,0.3858,0.301465791505462,0.7814,0.2005,0.17583582037127,0.8770,0.1206,0.144798594780795,0.7993,0.303769038918764,0.324710161853545,0.9311
18,0.1051,0.324369448802154,-1.0863,0.1095,0.111428901768103,0.9824,0.3821,0.317847803200774,0.8318,0.205,0.184364868041461,0.8993,0.119,0.144756575677081,0.7836,0.324369448802154,0.328124642181941,0.9884
19,0.1536,0.307362593397892,-0.0011,0.1201,0.103515764375141,0.8619,0.339,0.302674735528876,0.8928,0.1713,0.176001376244494,0.9726,0.1357,0.146430947019161,0.9209,0.307362593397892,0.32438632420853,0.9446
20,0.1269,0.307156181066878,-0.4205,0.1018,0.104265683698401,0.9758,0.3606,0.304447423782792,0.8443,0.205,0.177422208628175,0.8655,0.1366,0.142185151162563,0.9591,0.307156181066878,0.346923901604392,0.8705
21,0.1393,0.304858795480406,-0.1885,0.116,0.102994605833624,0.8879,0.3347,0.302384551324046,0.9034,0.1992,0.17606431574089,0.8839,0.1054,0.142643290171638,0.6466,0.304858795480406,0.341015206127262,0.8814
22,0.1389,0.3115238483866,-0.2428,0.1028,0.104794301851434,0.9806,0.3804,0.308318057933627,0.8105,0.1958,0.179729092727717,0.9179,0.1315,0.142188754231788,0.9187,0.3115238483866,0.325633012487258,0.9547
23,0.1336,0.307556255832707,-0.3021,0.1302,0.103165615654052,0.7924,0.4078,0.306650577407034,0.7520,0.2098,0.178894060984372,0.8527,0.1276,0.134654765456761,0.9447,0.307556255832707,0.324057247658199,0.9463
24,0.1592,0.310671496607182,0.0485,0.1201,0.103646527705977,0.8630,0.3709,0.306145233507583,0.8254,0.2025,0.178598353221378,0.8820,0.123,0.130322406527089,0.9405,0.310671496607182,0.32837335795142,0.9430
25,0.142,0.304551163479424,-0.1447,0.1254,0.103669811353853,0.8267,0.3887,0.302080200725403,0.7772,0.2127,0.176413758174391,0.8294,0.1227,0.159543806374496,0.6997,0.304551163479424,0.329743943988902,0.9173
