,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [s],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [s],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [s],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [s],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [s],FSL Runtime [s],Best Architecture,Best Train Time [s]
Event 0,event_0,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,17.680155050060613,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[4, 8, 8, 4, 9, 9, 9]",0.35207184096886524,1.0018854141235352,Success,processor_40,"['processor_8', 'processor_4', 'processor_9']",0.11995074717476356,0.6657512187957764,Success,processor_8,"['processor_4', 'processor_9', 'processor_22']",0.3485012560513538,0.07142281532287598,Success,processor_8,"['processor_4', 'processor_9', 'processor_22']",0.24611944285795503,0.06915140151977539,Success,processor_0,"['processor_4', 'processor_3', 'processor_5']","['processor_1', 'processor_2', 'processor_6']",0.12067159391352268,0.0018978118896484375,FL,0.11995074717476356
Event 1,event_1,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,22.153311433710662,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[15, 22, 22, 15, 4, 4, 4]",0.3738184835555036,0.8561694622039795,Success,processor_43,"['processor_22', 'processor_15', 'processor_4']",0.1282661723786989,0.6668248176574707,Success,processor_22,"['processor_15', 'processor_4', 'processor_17']",0.36289632520011034,0.05614519119262695,Success,processor_22,"['processor_15', 'processor_4', 'processor_17']",0.25470252596902526,0.0609431266784668,Success,processor_2,"['processor_4', 'processor_6', 'processor_5']","['processor_3', 'processor_0', 'processor_1']",0.1371840623356917,0.001435995101928711,FL,0.1282661723786989
Event 2,event_2,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,18.45287508491955,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[1, 14, 14, 1, 8, 8, 8]",0.37012556325951895,0.972459077835083,Success,processor_34,"['processor_14', 'processor_1', 'processor_25']",0.12601069688547917,0.7470676898956299,Success,processor_14,"['processor_1', 'processor_25', 'processor_8']",0.3525361002052226,0.06891870498657227,Success,processor_14,"['processor_1', 'processor_25', 'processor_8']",0.2474368954420814,0.07303667068481445,Success,processor_4,"['processor_1', 'processor_0', 'processor_5']","['processor_2', 'processor_3', 'processor_6']",0.14161864010413508,0.0015106201171875,FL,0.12601069688547917
Event 3,event_3,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,21.163991689185565,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[2, 16, 16, 2, 3, 3, 3]",0.36228148986998354,0.9855010509490967,Success,processor_27,"['processor_16', 'processor_2', 'processor_3']",0.12232434326951501,0.7595164775848389,Success,processor_16,"['processor_2', 'processor_3', 'processor_25']",0.35966744984816107,0.07124900817871094,Success,processor_16,"['processor_2', 'processor_3', 'processor_25']",0.2542557414985602,0.06299543380737305,Success,processor_1,"['processor_2', 'processor_0', 'processor_6']","['processor_3', 'processor_5', 'processor_4']",0.1617455801288456,0.0013620853424072266,FL,0.12232434326951501
Event 4,event_4,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,14.430154289097526,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[9, 9, 9, 20, 12, 12, 12]",0.3474223194912103,1.0941107273101807,Success,processor_44,"['processor_9', 'processor_20', 'processor_12']",0.11663569632754331,0.7525935173034668,Success,processor_9,"['processor_20', 'processor_12', 'processor_18']",0.34652037422046345,0.07055139541625977,Success,processor_9,"['processor_20', 'processor_12', 'processor_18']",0.24512016416339566,0.05885815620422363,Success,processor_6,"['processor_1', 'processor_4', 'processor_3']","['processor_5', 'processor_2', 'processor_0']",0.16671680470406125,0.001476287841796875,FL,0.11663569632754331
Event 5,event_5,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,28.076067865566756,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[0, 0, 0, 13, 19, 19, 19]",0.3723868554631343,0.7707643508911133,Success,processor_33,"['processor_25', 'processor_0', 'processor_13']",0.12165365110279794,0.7081143856048584,Success,processor_25,"['processor_0', 'processor_13', 'processor_19']",0.36425539943187174,0.0656423568725586,Success,processor_25,"['processor_0', 'processor_13', 'processor_19']",0.25807353339612177,0.06694626808166504,Success,processor_6,"['processor_0', 'processor_4', 'processor_3']","['processor_5', 'processor_1', 'processor_2']",0.1361079093670361,0.001444101333618164,FL,0.12165365110279794
Event 6,event_6,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,19.741982797336984,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[6, 6, 6, 20, 17, 17, 17]",0.37191452750547654,1.1020598411560059,Success,processor_28,"['processor_6', 'processor_25', 'processor_20']",0.12527466044489635,0.709747314453125,Success,processor_6,"['processor_25', 'processor_20', 'processor_17']",0.35993970679306814,0.06883382797241211,Success,processor_6,"['processor_25', 'processor_20', 'processor_17']",0.25366447872474046,0.06584906578063965,Success,processor_5,"['processor_6', 'processor_4', 'processor_1']","['processor_2', 'processor_0', 'processor_3']",0.14241118196749913,0.0014584064483642578,FL,0.12527466044489635
Event 7,event_7,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,17.51855410112235,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[1, 1, 1, 16, 21, 21, 21]",0.35608624377097653,0.9326987266540527,Success,processor_49,"['processor_1', 'processor_16', 'processor_21']",0.12082341140233774,0.7308230400085449,Success,processor_1,"['processor_16', 'processor_21', 'processor_13']",0.35361662595388754,0.07217526435852051,Success,processor_1,"['processor_16', 'processor_21', 'processor_13']",0.249963924555589,0.07093191146850586,Success,processor_6,"['processor_1', 'processor_3', 'processor_0']","['processor_2', 'processor_5', 'processor_4']",0.1422319852230066,0.0019359588623046875,FL,0.12082341140233774
Event 8,event_8,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,24.725444169503422,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[2, 2, 2, 21, 1, 1, 1]",0.3523614722726861,0.9035482406616211,Success,processor_50,"['processor_2', 'processor_21', 'processor_1']",0.1204274908628991,0.7267932891845703,Success,processor_2,"['processor_21', 'processor_1', 'processor_23']",0.3491673296145854,0.06952404975891113,Success,processor_2,"['processor_21', 'processor_1', 'processor_23']",0.2464599174756313,0.0671548843383789,Success,processor_5,"['processor_2', 'processor_3', 'processor_4']","['processor_1', 'processor_0', 'processor_6']",0.11572818180494239,0.001367807388305664,FSL,0.11572818180494239
Event 9,event_9,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,17.433135546624868,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[3, 17, 17, 3, 22, 22, 22]",0.35776139091321835,0.915963888168335,Success,processor_36,"['processor_17', 'processor_3', 'processor_25']",0.12012718633072282,0.6730189323425293,Success,processor_17,"['processor_3', 'processor_25', 'processor_22']",0.35451406529425206,0.06881904602050781,Success,processor_17,"['processor_3', 'processor_25', 'processor_22']",0.25080369954977283,0.06603145599365234,Success,processor_2,"['processor_3', 'processor_6', 'processor_5']","['processor_1', 'processor_4', 'processor_0']",0.12244597750099201,0.0021393299102783203,FL,0.12012718633072282
Event 10,event_10,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,16.573734240399947,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[1, 10, 10, 1, 19, 19, 19]",0.35839498976398665,1.0155582427978516,Success,processor_41,"['processor_10', 'processor_1', 'processor_19']",0.12282571283808216,0.6404695510864258,Success,processor_10,"['processor_1', 'processor_19', 'processor_18']",0.3529481118887758,0.06911396980285645,Success,processor_10,"['processor_1', 'processor_19', 'processor_18']",0.24890540227328647,0.06688618659973145,Success,processor_6,"['processor_1', 'processor_5', 'processor_4']","['processor_3', 'processor_2', 'processor_0']",0.13772936669286945,0.0018558502197265625,FL,0.12282571283808216
Event 11,event_11,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,13.91023060782747,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[15, 15, 15, 24, 4, 4, 4]",0.36860967879379697,0.9698610305786133,Success,processor_48,"['processor_15', 'processor_7', 'processor_24']",0.12887492549178775,0.6320071220397949,Success,processor_15,"['processor_7', 'processor_24', 'processor_4']",0.35494631694080786,0.06719827651977539,Success,processor_15,"['processor_7', 'processor_24', 'processor_4']",0.24705314053800728,0.06583166122436523,Success,processor_2,"['processor_4', 'processor_5', 'processor_1']","['processor_6', 'processor_3', 'processor_0']",0.1685152873311214,0.0015728473663330078,FL,0.12887492549178775
Event 12,event_12,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,25.909627568739648,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[5, 5, 5, 14, 0, 0, 0]",0.3744061369234699,0.9237267971038818,Success,processor_39,"['processor_5', 'processor_14', 'processor_0']",0.13132066027892703,0.6896176338195801,Success,processor_5,"['processor_14', 'processor_0', 'processor_16']",0.364721679953313,0.053845882415771484,Success,processor_5,"['processor_14', 'processor_0', 'processor_16']",0.2560623312037306,0.05300617218017578,Success,processor_4,"['processor_5', 'processor_6', 'processor_1']","['processor_0', 'processor_3', 'processor_2']",0.11632720719619964,0.0012798309326171875,FSL,0.11632720719619964
Event 13,event_13,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,23.79399976631445,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[5, 5, 5, 16, 23, 23, 23]",0.3695263081954469,0.9527115821838379,Success,processor_33,"['processor_5', 'processor_16', 'processor_23']",0.12840556992055124,0.7007229328155518,Success,processor_5,"['processor_16', 'processor_23', 'processor_13']",0.36141333525155134,0.0680387020111084,Success,processor_5,"['processor_16', 'processor_23', 'processor_13']",0.2538221739064159,0.0659494400024414,Success,processor_3,"['processor_5', 'processor_6', 'processor_1']","['processor_4', 'processor_0', 'processor_2']",0.12534651192656573,0.0015654563903808594,FSL,0.12534651192656573
