,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [s],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [s],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [s],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [s],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [s],FSL Runtime [s],Best Architecture,Best Train Time [s]
Event 0,event_0,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,17.43086978700803,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[4, 9, 9, 4, 7, 7, 7]",0.3087305950382856,0.973156213760376,Success,processor_44,"['processor_9', 'processor_4', 'processor_7']",0.1054368750018537,0.6477510929107666,Success,processor_9,"['processor_4', 'processor_7', 'processor_5']",0.3035024406742993,0.0703127384185791,Success,processor_9,"['processor_4', 'processor_7', 'processor_5']",0.2138186125509242,0.06873035430908203,Success,processor_0,"['processor_4', 'processor_2', 'processor_6']","['processor_5', 'processor_1', 'processor_3']",0.1330733342177008,0.0015940666198730469,FL,0.1054368750018537
Event 1,event_1,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,17.486641392937983,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[8, 8, 8, 17, 4, 4, 4]",0.31154458391536877,0.7630908489227295,Success,processor_51,"['processor_8', 'processor_17', 'processor_4']",0.1070787744309921,0.7014098167419434,Success,processor_8,"['processor_17', 'processor_4', 'processor_14']",0.306313009440147,0.05455207824707031,Success,processor_8,"['processor_17', 'processor_4', 'processor_14']",0.2152449563116798,0.053086280822753906,Success,processor_2,"['processor_4', 'processor_5', 'processor_6']","['processor_1', 'processor_3', 'processor_0']",0.11195996678471079,0.0012803077697753906,FL,0.1070787744309921
Event 2,event_2,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,18.379376340047557,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[3, 7, 7, 3, 14, 14, 14]",0.30650351953772137,0.8990786075592041,Success,processor_30,"['processor_7', 'processor_3', 'processor_14']",0.10353587087041417,0.7308499813079834,Success,processor_7,"['processor_3', 'processor_14', 'processor_19']",0.30332488454680445,0.07009005546569824,Success,processor_7,"['processor_3', 'processor_14', 'processor_19']",0.21413976833066942,0.06840109825134277,Success,processor_6,"['processor_3', 'processor_4', 'processor_1']","['processor_2', 'processor_5', 'processor_0']",0.12621163258819862,0.0013506412506103516,FL,0.10353587087041417
Event 3,event_3,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,20.619434172195774,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[3, 3, 3, 16, 11, 11, 11]",0.324615661397302,0.8234026432037354,Success,processor_38,"['processor_3', 'processor_16', 'processor_11']",0.1160672942802555,0.7191429138183594,Success,processor_3,"['processor_16', 'processor_11', 'processor_18']",0.31115362904259375,0.07029294967651367,Success,processor_3,"['processor_16', 'processor_11', 'processor_18']",0.21679184859647951,0.06733918190002441,Success,processor_2,"['processor_3', 'processor_4', 'processor_6']","['processor_1', 'processor_5', 'processor_0']",0.11730309807255694,0.0014133453369140625,FL,0.1160672942802555
Event 4,event_4,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,16.463226530121897,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[2, 15, 15, 2, 7, 7, 7]",0.3126766487695183,0.8308990001678467,Success,processor_30,"['processor_15', 'processor_2', 'processor_7']",0.10577292016095319,0.7255215644836426,Success,processor_15,"['processor_2', 'processor_7', 'processor_21']",0.31081347977963464,0.06899738311767578,Success,processor_15,"['processor_2', 'processor_7', 'processor_21']",0.21984666952076456,0.06991887092590332,Success,processor_0,"['processor_2', 'processor_3', 'processor_1']","['processor_5', 'processor_4', 'processor_6']",0.14138966501679123,0.0015408992767333984,FL,0.10577292016095319
Event 5,event_5,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,16.55323717907763,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[11, 11, 11, 24, 5, 5, 5]",0.3162924358763518,0.8749032020568848,Success,processor_30,"['processor_11', 'processor_25', 'processor_4']",0.10921883487995973,0.7163286209106445,Success,processor_11,"['processor_25', 'processor_4', 'processor_24']",0.30708957254204083,0.06923723220825195,Success,processor_11,"['processor_25', 'processor_4', 'processor_24']",0.2146764617542558,0.06800293922424316,Success,processor_1,"['processor_4', 'processor_2', 'processor_3']","['processor_5', 'processor_6', 'processor_0']",0.11265596485677774,0.001477956771850586,FL,0.10921883487995973
Event 6,event_6,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,25.43755304615681,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[2, 2, 2, 16, 14, 14, 14]",0.30635550674802225,0.9816596508026123,Success,processor_48,"['processor_2', 'processor_16', 'processor_14']",0.10381196934644474,0.6557197570800781,Success,processor_2,"['processor_16', 'processor_14', 'processor_23']",0.3027233846141169,0.06982135772705078,Success,processor_2,"['processor_16', 'processor_14', 'processor_23']",0.21328002885971528,0.06522917747497559,Success,processor_4,"['processor_2', 'processor_3', 'processor_5']","['processor_1', 'processor_0', 'processor_6']",0.12396546412261826,0.0020411014556884766,FL,0.10381196934644474
Event 7,event_7,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,22.149831828800977,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[13, 13, 13, 23, 11, 11, 11]",0.31596895426962474,0.9645144939422607,Success,processor_46,"['processor_13', 'processor_23', 'processor_11']",0.10996729783475717,0.6540515422821045,Success,processor_13,"['processor_23', 'processor_11', 'processor_12']",0.3077198243595138,0.07004499435424805,Success,processor_13,"['processor_23', 'processor_11', 'processor_12']",0.21534419934729188,0.06817960739135742,Success,processor_6,"['processor_4', 'processor_0', 'processor_5']","['processor_3', 'processor_2', 'processor_1']",0.13567700632289073,0.00144195556640625,FL,0.10996729783475717
Event 8,event_8,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,16.888618553939708,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[17, 17, 17, 23, 1, 1, 1]",0.30520323017456863,0.7813348770141602,Success,processor_46,"['processor_17', 'processor_23', 'processor_1']",0.10456640607767667,0.6884808540344238,Success,processor_17,"['processor_23', 'processor_1', 'processor_7']",0.3016079480653564,0.05552792549133301,Success,processor_17,"['processor_23', 'processor_1', 'processor_7']",0.21296279264706275,0.05322098731994629,Success,processor_0,"['processor_1', 'processor_3', 'processor_6']","['processor_4', 'processor_5', 'processor_2']",0.09191607467813995,0.0013055801391601562,FSL,0.09191607467813995
Event 9,event_9,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,29.335093211117915,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[20, 20, 20, 22, 5, 5, 5]",0.3181476953495485,0.9519579410552979,Success,processor_35,"['processor_20', 'processor_22', 'processor_5']",0.10866174494727768,0.7124717235565186,Success,processor_20,"['processor_22', 'processor_5', 'processor_12']",0.31360585628644294,0.0697793960571289,Success,processor_20,"['processor_22', 'processor_5', 'processor_12']",0.2209537217961748,0.06549382209777832,Success,processor_2,"['processor_5', 'processor_4', 'processor_1']","['processor_0', 'processor_3', 'processor_6']",0.11553582711138273,0.0014367103576660156,FL,0.10866174494727768
