,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [s],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [s],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [s],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [s],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [s],FSL Runtime [s],Best Architecture,Best Train Time [s]
Event 0,event_0,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,32.10694688657649,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[14, 23, 23, 14, 4, 4, 4]",0.30972496669151495,0.9015326499938965,Success,processor_36,"['processor_23', 'processor_14', 'processor_4']",0.10374663550284532,0.6401937007904053,Success,processor_23,"['processor_14', 'processor_4', 'processor_0']",0.3085789640456468,0.07618498802185059,Success,processor_23,"['processor_14', 'processor_4', 'processor_0']",0.21831156906388519,0.07078194618225098,Success,processor_6,"['processor_4', 'processor_1', 'processor_3']","['processor_0', 'processor_2', 'processor_5']",0.10401123856857353,0.0017986297607421875,FL,0.10374663550284532
Event 1,event_1,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,16.941490456951854,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[1, 4, 4, 1, 20, 20, 20]",0.29786735097443473,1.203951120376587,Success,processor_47,"['processor_4', 'processor_1', 'processor_20']",0.10029593383121986,0.6231033802032471,Success,processor_4,"['processor_1', 'processor_20', 'processor_12']",0.29728736280395524,0.0682382583618164,Success,processor_4,"['processor_1', 'processor_20', 'processor_12']",0.21046574865903384,0.06737375259399414,Success,processor_0,"['processor_4', 'processor_3', 'processor_5']","['processor_1', 'processor_2', 'processor_6']",0.11989323934640697,0.0016138553619384766,FL,0.10029593383121986
Event 2,event_2,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,29.608428426611763,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[5, 5, 5, 14, 21, 21, 21]",0.30762965063360403,0.8680534362792969,Success,processor_36,"['processor_5', 'processor_14', 'processor_21']",0.10370535940030384,0.7069065570831299,Success,processor_5,"['processor_14', 'processor_21', 'processor_7']",0.3064243945472374,0.05521702766418457,Success,processor_5,"['processor_14', 'processor_21', 'processor_7']",0.21670182603474297,0.052988290786743164,Success,processor_1,"['processor_5', 'processor_2', 'processor_4']","['processor_0', 'processor_6', 'processor_3']",0.10849287772704526,0.0013163089752197266,FL,0.10370535940030384
Event 3,event_3,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,17.921076957766246,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[6, 6, 6, 9, 17, 17, 17]",0.3161796826602837,1.0237071514129639,Success,processor_45,"['processor_6', 'processor_9', 'processor_25']",0.10548318670707213,0.7092797756195068,Success,processor_6,"['processor_9', 'processor_25', 'processor_17']",0.3017514699737359,0.06994390487670898,Success,processor_6,"['processor_9', 'processor_25', 'processor_17']",0.21198116137418677,0.061855316162109375,Success,processor_1,"['processor_6', 'processor_2', 'processor_5']","['processor_3', 'processor_4', 'processor_0']",0.11392802186141063,0.0013704299926757812,FL,0.10548318670707213
Event 4,event_4,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,24.12744105930861,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[13, 18, 18, 13, 6, 6, 6]",0.32680063285031036,0.7755672931671143,Success,processor_31,"['processor_18', 'processor_13', 'processor_6']",0.11603445253148419,0.6972358226776123,Success,processor_18,"['processor_13', 'processor_6', 'processor_25']",0.3138204792970691,0.0690925121307373,Success,processor_18,"['processor_13', 'processor_6', 'processor_25']",0.21964792118128187,0.06581950187683105,Success,processor_1,"['processor_6', 'processor_0', 'processor_2']","['processor_5', 'processor_4', 'processor_3']",0.12988393859470104,0.0014605522155761719,FL,0.11603445253148419
Event 5,event_5,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,15.935318442289224,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[5, 5, 5, 24, 20, 20, 20]",0.3050207201320903,1.1319968700408936,Success,processor_32,"['processor_5', 'processor_24', 'processor_20']",0.10456802670349906,0.7022271156311035,Success,processor_5,"['processor_24', 'processor_20', 'processor_21']",0.301689291607739,0.06929802894592285,Success,processor_5,"['processor_24', 'processor_20', 'processor_21']",0.21309117053741333,0.06527042388916016,Success,processor_4,"['processor_5', 'processor_2', 'processor_1']","['processor_3', 'processor_6', 'processor_0']",0.126569953200053,0.0013797283172607422,FL,0.10456802670349906
Event 6,event_6,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,25.745202147961702,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[5, 8, 8, 5, 19, 19, 19]",0.306027498553972,0.8601975440979004,Success,processor_32,"['processor_8', 'processor_5', 'processor_19']",0.10480736517874495,0.6868445873260498,Success,processor_8,"['processor_5', 'processor_19', 'processor_14']",0.30404135036094876,0.06682753562927246,Success,processor_8,"['processor_5', 'processor_19', 'processor_14']",0.21495072117498315,0.06550073623657227,Success,processor_2,"['processor_5', 'processor_6', 'processor_4']","['processor_0', 'processor_3', 'processor_1']",0.10801277608435765,0.0013773441314697266,FL,0.10480736517874495
Event 7,event_7,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,28.481421913310662,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[11, 12, 12, 11, 21, 21, 21]",0.29977577292693386,0.897512674331665,Success,processor_34,"['processor_12', 'processor_11', 'processor_21']",0.1015980290346107,0.6678683757781982,Success,processor_12,"['processor_11', 'processor_21', 'processor_23']",0.2971429173493976,0.06798171997070312,Success,processor_12,"['processor_11', 'processor_21', 'processor_23']",0.20995519595029238,0.06448698043823242,Success,processor_6,"['processor_5', 'processor_3', 'processor_1']","['processor_0', 'processor_4', 'processor_2']",0.1255946081894531,0.0014164447784423828,FL,0.1015980290346107
Event 8,event_8,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,33.80275690835674,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[0, 17, 17, 0, 8, 8, 8]",0.30367750769128365,0.7257261276245117,Success,processor_27,"['processor_17', 'processor_0', 'processor_8']",0.10344830527410781,0.623009204864502,Success,processor_17,"['processor_0', 'processor_8', 'processor_3']",0.29871920830818294,0.06752705574035645,Success,processor_17,"['processor_0', 'processor_8', 'processor_3']",0.21058889083835103,0.06559491157531738,Success,processor_4,"['processor_0', 'processor_5', 'processor_2']","['processor_3', 'processor_1', 'processor_6']",0.09043322611106899,0.002217531204223633,FSL,0.09043322611106899
Event 9,event_9,100,7,3,3,0.0013604996,0.141028463840485,0.001,0.75,0.25,24.524551319620336,6.5,1,10000000000,0.000503909138323,0.0256633758544922,0.141028463840485,Success,"[11, 11, 11, 15, 21, 21, 21]",0.30407202196004557,0.9441864490509033,Success,processor_39,"['processor_11', 'processor_15', 'processor_21']",0.10258041035363312,0.6852262020111084,Success,processor_11,"['processor_15', 'processor_21', 'processor_4']",0.3031887924116816,0.05578804016113281,Success,processor_11,"['processor_15', 'processor_21', 'processor_4']",0.2144192205692207,0.05317425727844238,Success,processor_6,"['processor_4', 'processor_0', 'processor_5']","['processor_2', 'processor_3', 'processor_1']",0.11253162209810616,0.0012764930725097656,FL,0.10258041035363312
