,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [s],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [s],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [s],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [s],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [s],FSL Runtime [s],Best Architecture,Best Train Time [s]
Event 0,event_0,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,40.222283572515636,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[0, 14, 14, 0, 2, 2, 2]",1.224630621055068,0.940892219543457,Success,processor_27,"['processor_14', 'processor_0', 'processor_2']",0.4110035101641143,0.6493253707885742,Success,processor_14,"['processor_0', 'processor_2', 'processor_18']",1.2230994356964506,0.0694429874420166,Success,processor_14,"['processor_0', 'processor_2', 'processor_18']",0.683498803222392,0.06834983825683594,Success,processor_6,"['processor_2', 'processor_3', 'processor_1']","['processor_0', 'processor_4', 'processor_5']",0.4489564353419818,0.0014281272888183594,FL,0.4110035101641143
Event 1,event_1,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,30.821288445685802,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[14, 15, 15, 14, 24, 24, 24]",1.2294521719186593,1.113722801208496,Success,processor_37,"['processor_15', 'processor_14', 'processor_24']",0.4120560430048282,0.6561689376831055,Success,processor_15,"['processor_14', 'processor_24', 'processor_22']",1.2330350766587181,0.0701751708984375,Success,processor_15,"['processor_14', 'processor_24', 'processor_22']",0.6909354787310875,0.06704568862915039,Success,processor_5,"['processor_0', 'processor_2', 'processor_1']","['processor_3', 'processor_4', 'processor_6']",0.517410061300166,0.0014233589172363281,FL,0.4120560430048282
Event 2,event_2,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,20.658688723807362,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[1, 11, 11, 10, 1, 1, 1]",1.2295782399366524,0.7494771480560303,Success,processor_42,"['processor_11', 'processor_10', 'processor_1']",0.4156840528366285,0.7159397602081299,Success,processor_11,"['processor_10', 'processor_1', 'processor_6']",1.2204822612598771,0.06431174278259277,Success,processor_11,"['processor_10', 'processor_1', 'processor_6']",0.6788621843683493,0.05383586883544922,Success,processor_3,"['processor_6', 'processor_4', 'processor_0']","['processor_1', 'processor_2', 'processor_5']",0.5479138232001249,0.0013213157653808594,FL,0.4156840528366285
Event 3,event_3,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,18.672777306476494,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[5, 13, 13, 5, 1, 1, 1]",1.2171340382471736,0.9794058799743652,Success,processor_48,"['processor_13', 'processor_5', 'processor_1']",0.40922064003924197,0.7139272689819336,Success,processor_13,"['processor_5', 'processor_1', 'processor_16']",1.224133585714005,0.0671393871307373,Success,processor_13,"['processor_5', 'processor_1', 'processor_16']",0.6860948666183945,0.06822752952575684,Success,processor_0,"['processor_1', 'processor_3', 'processor_4']","['processor_5', 'processor_6', 'processor_2']",0.49706880699512096,0.0016148090362548828,FL,0.40922064003924197
Event 4,event_4,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,29.193501706345515,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[2, 2, 2, 13, 11, 11, 11]",1.3256571090417673,0.8244509696960449,Success,processor_51,"['processor_2', 'processor_13', 'processor_11']",0.44721753687183363,0.7189319133758545,Success,processor_2,"['processor_13', 'processor_11', 'processor_17']",1.325910459230491,0.07045769691467285,Success,processor_2,"['processor_13', 'processor_11', 'processor_17']",0.7385445026503075,0.06738567352294922,Success,processor_4,"['processor_3', 'processor_1', 'processor_5']","['processor_2', 'processor_0', 'processor_6']",0.5221577369964059,0.0014629364013671875,FL,0.44721753687183363
Event 5,event_5,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,29.77402373409713,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[3, 3, 3, 8, 23, 23, 23]",1.3486216917786118,1.0466053485870361,Success,processor_50,"['processor_3', 'processor_8', 'processor_23']",0.46636995144711996,0.7107789516448975,Success,processor_3,"['processor_8', 'processor_23', 'processor_15']",1.3428003434446403,0.0675051212310791,Success,processor_3,"['processor_8', 'processor_23', 'processor_15']",0.7410309461825325,0.06490302085876465,Success,processor_2,"['processor_4', 'processor_6', 'processor_1']","['processor_3', 'processor_0', 'processor_5']",0.5030518353207232,0.0017614364624023438,FL,0.46636995144711996
Event 6,event_6,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,35.471306680385354,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[7, 7, 7, 22, 24, 24, 24]",1.259452703395885,1.0687954425811768,Success,processor_37,"['processor_7', 'processor_22', 'processor_25']",0.4263189560986933,0.7037267684936523,Success,processor_7,"['processor_22', 'processor_25', 'processor_24']",1.247066758208668,0.07204055786132812,Success,processor_7,"['processor_22', 'processor_25', 'processor_24']",0.6950912335241249,0.06781220436096191,Success,processor_6,"['processor_3', 'processor_5', 'processor_2']","['processor_0', 'processor_1', 'processor_4']",0.5155656264461648,0.001705169677734375,FL,0.4263189560986933
Event 7,event_7,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,32.26061808853066,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[15, 15, 15, 17, 24, 24, 24]",1.2106914148941295,0.9913127422332764,Success,processor_26,"['processor_15', 'processor_17', 'processor_24']",0.40897194092781086,0.7021036148071289,Success,processor_15,"['processor_17', 'processor_24', 'processor_5']",1.2103104247767291,0.07140970230102539,Success,processor_15,"['processor_17', 'processor_24', 'processor_5']",0.675251799574778,0.06553435325622559,Success,processor_6,"['processor_2', 'processor_4', 'processor_0']","['processor_5', 'processor_1', 'processor_3']",0.3571301947900264,0.0014863014221191406,FSL,0.3571301947900264
Event 8,event_8,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,31.095199553431524,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[1, 18, 18, 1, 6, 6, 6]",1.237131974256914,0.8365139961242676,Success,processor_36,"['processor_18', 'processor_1', 'processor_6']",0.41274013794627473,0.6494669914245605,Success,processor_18,"['processor_1', 'processor_6', 'processor_19']",1.2495309424897096,0.06810593605041504,Success,processor_18,"['processor_1', 'processor_6', 'processor_19']",0.7032217263322766,0.06628060340881348,Success,processor_5,"['processor_6', 'processor_0', 'processor_3']","['processor_1', 'processor_2', 'processor_4']",0.3970273887900816,0.0015368461608886719,FSL,0.3970273887900816
Event 9,event_9,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,37.05900585117986,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[11, 11, 11, 24, 19, 19, 19]",1.252754765127442,0.995424747467041,Success,processor_44,"['processor_11', 'processor_25', 'processor_24']",0.4201551005392986,0.6279282569885254,Success,processor_11,"['processor_25', 'processor_24', 'processor_19']",1.2331043209069494,0.07148551940917969,Success,processor_11,"['processor_25', 'processor_24', 'processor_19']",0.6867102788099002,0.06902623176574707,Success,processor_3,"['processor_0', 'processor_1', 'processor_6']","['processor_4', 'processor_5', 'processor_2']",0.508736829790893,0.001550912857055664,FL,0.4201551005392986
