,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [s],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [s],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [s],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [s],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [s],FSL Runtime [s],Best Architecture,Best Train Time [s]
Event 0,event_0,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,29.839303048742256,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[8, 14, 14, 8, 10, 10, 10]",1.2055937263725478,1.0003633499145508,Success,processor_48,"['processor_14', 'processor_8', 'processor_10']",0.4115018340703933,0.6527919769287109,Success,processor_14,"['processor_8', 'processor_10', 'processor_20']",1.2084645796799856,0.07335853576660156,Success,processor_14,"['processor_8', 'processor_10', 'processor_20']",0.6735643900914524,0.06924200057983398,Success,processor_1,"['processor_6', 'processor_5', 'processor_3']","['processor_4', 'processor_2', 'processor_0']",0.4240988776991105,0.0014722347259521484,FL,0.4115018340703933
Event 1,event_1,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,25.52305258691437,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[4, 4, 4, 9, 18, 18, 18]",1.1835608052399824,1.068530559539795,Success,processor_44,"['processor_4', 'processor_9', 'processor_18']",0.4017145126173535,0.6473743915557861,Success,processor_4,"['processor_9', 'processor_18', 'processor_19']",1.1859513420274799,0.06985855102539062,Success,processor_4,"['processor_9', 'processor_18', 'processor_19']",0.6624170348384598,0.06732702255249023,Success,processor_1,"['processor_5', 'processor_6', 'processor_2']","['processor_4', 'processor_3', 'processor_0']",0.46504048442358,0.0019021034240722656,FL,0.4017145126173535
Event 2,event_2,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,25.4126328717659,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[5, 9, 9, 5, 12, 12, 12]",1.2626599242928591,1.0142748355865479,Success,processor_39,"['processor_9', 'processor_5', 'processor_12']",0.43256606043434176,0.6628150939941406,Success,processor_9,"['processor_5', 'processor_12', 'processor_24']",1.2556434291992973,0.05769228935241699,Success,processor_9,"['processor_5', 'processor_12', 'processor_24']",0.6968567536733257,0.0606236457824707,Success,processor_6,"['processor_2', 'processor_0', 'processor_1']","['processor_5', 'processor_4', 'processor_3']",0.49747539139401525,0.002019166946411133,FL,0.43256606043434176
Event 3,event_3,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,24.334931499383586,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[4, 16, 16, 21, 4, 4, 4]",1.222073062280212,0.8185617923736572,Success,processor_32,"['processor_16', 'processor_21', 'processor_4']",0.4111174350054365,0.725034236907959,Success,processor_16,"['processor_21', 'processor_4', 'processor_12']",1.2174718518952572,0.06994366645812988,Success,processor_16,"['processor_21', 'processor_4', 'processor_12']",0.6799416228726515,0.0644230842590332,Success,processor_1,"['processor_6', 'processor_3', 'processor_0']","['processor_4', 'processor_2', 'processor_5']",0.47668116915912645,0.0014603137969970703,FL,0.4111174350054365
Event 4,event_4,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,22.490687585575614,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[4, 4, 4, 15, 23, 23, 23]",1.2018641386760442,0.8802134990692139,Success,processor_43,"['processor_4', 'processor_15', 'processor_23']",0.40565495539000546,0.7136843204498291,Success,processor_4,"['processor_15', 'processor_23', 'processor_7']",1.2008664425351565,0.06960344314575195,Success,processor_4,"['processor_15', 'processor_23', 'processor_7']",0.6702498707498981,0.06760048866271973,Success,processor_0,"['processor_6', 'processor_3', 'processor_5']","['processor_4', 'processor_1', 'processor_2']",0.4881670195431812,0.0019731521606445312,FL,0.40565495539000546
Event 5,event_5,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,39.60693580273893,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[2, 2, 2, 19, 0, 0, 0]",1.1989324782837458,0.8847334384918213,Success,processor_29,"['processor_2', 'processor_19', 'processor_0']",0.4140680608227026,0.7144255638122559,Success,processor_2,"['processor_19', 'processor_0', 'processor_22']",1.1929268460538627,0.06907367706298828,Success,processor_2,"['processor_19', 'processor_0', 'processor_22']",0.6632355063159321,0.06744003295898438,Success,processor_3,"['processor_0', 'processor_4', 'processor_6']","['processor_2', 'processor_1', 'processor_5']",0.42083402930867725,0.0015704631805419922,FL,0.4140680608227026
Event 6,event_6,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,21.740227400262242,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[9, 9, 9, 19, 12, 12, 12]",1.2174437289274005,0.8072803020477295,Success,processor_32,"['processor_9', 'processor_19', 'processor_12']",0.412383515680412,0.7095587253570557,Success,processor_9,"['processor_19', 'processor_12', 'processor_24']",1.2153692099927218,0.0725853443145752,Success,processor_9,"['processor_19', 'processor_12', 'processor_24']",0.6783307830396977,0.0662539005279541,Success,processor_4,"['processor_5', 'processor_2', 'processor_0']","['processor_3', 'processor_6', 'processor_1']",0.5142144505919374,0.0025806427001953125,FL,0.412383515680412
Event 7,event_7,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,26.536193646384106,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[8, 8, 8, 18, 16, 16, 16]",1.2023352588687972,0.8762707710266113,Success,processor_29,"['processor_8', 'processor_18', 'processor_16']",0.4107774989904126,0.6357977390289307,Success,processor_8,"['processor_18', 'processor_16', 'processor_4']",1.2009623746091003,0.07249784469604492,Success,processor_8,"['processor_18', 'processor_16', 'processor_4']",0.6649182395278348,0.06764340400695801,Success,processor_5,"['processor_6', 'processor_1', 'processor_0']","['processor_4', 'processor_2', 'processor_3']",0.4100494762722696,0.0014667510986328125,FSL,0.4100494762722696
Event 8,event_8,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,23.077773971052025,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[1, 17, 17, 13, 1, 1, 1]",1.2183437724177821,0.8148868083953857,Success,processor_37,"['processor_17', 'processor_13', 'processor_1']",0.4124810711835903,0.6481032371520996,Success,processor_17,"['processor_13', 'processor_1', 'processor_3']",1.209568716738271,0.06435823440551758,Success,processor_17,"['processor_13', 'processor_1', 'processor_3']",0.6714495584464694,0.06696772575378418,Success,processor_6,"['processor_3', 'processor_4', 'processor_5']","['processor_1', 'processor_2', 'processor_0']",0.5681846148284122,0.0016300678253173828,FL,0.4124810711835903
Event 9,event_9,100,7,3,3,0.006559962,2.02331930398941,0.001,0.75,0.25,41.16011290143378,6.5,1,10000000000,0.000810277642072,0.0364494323730469,2.02331930398941,Success,"[0, 0, 0, 24, 4, 4, 4]",1.2074494819107104,1.067267656326294,Success,processor_41,"['processor_0', 'processor_24', 'processor_4']",0.4069362036763355,0.6787712574005127,Success,processor_0,"['processor_24', 'processor_4', 'processor_21']",1.2080547870218543,0.053679466247558594,Success,processor_0,"['processor_24', 'processor_4', 'processor_21']",0.6752980573398357,0.05807042121887207,Success,processor_3,"['processor_4', 'processor_6', 'processor_2']","['processor_0', 'processor_5', 'processor_1']",0.4506565368454266,0.0013275146484375,FL,0.4069362036763355
