,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13027.207715094075,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.6531767534522226,0.8800561428070068,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10839267751974507,0.6474697589874268,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.8549545309633336,0.05656290054321289,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.37766722932720703,0.0628194808959961,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.20604272781421648,0.0015230178833007812,FL,0.10839267751974507
Event 1,event_1,100,7,3,3,20.0,100.0,0.001,0.75,0.25,10405.5063818304,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.7337623481826694,0.8174190521240234,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.1352546498773536,0.6899368762969971,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.9355401256937803,0.06572747230529785,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4347487835916141,0.06504154205322266,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.22538334791169462,0.0014507770538330078,FL,0.1352546498773536
Event 2,event_2,100,7,3,3,20.0,100.0,0.001,0.75,0.25,12980.007166197709,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.65433983331685,0.7852373123168945,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10878037235872723,0.6898376941680908,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.8561176108279607,0.06711912155151367,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3784910788828083,0.0665438175201416,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.20632186809828362,0.0015251636505126953,FL,0.10878037235872723
Event 3,event_3,100,7,3,3,20.0,100.0,0.001,0.75,0.25,14724.16642353899,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.6163148312871576,0.7870516777038574,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.09610532098216044,0.686060905456543,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.8180926087982684,0.0668632984161377,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3515566593501074,0.06670975685119629,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.19719583110715552,0.0016546249389648438,FL,0.09610532098216044
Event 4,event_4,100,7,3,3,20.0,100.0,0.001,0.75,0.25,16638.256638841212,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.583760211678627,0.8377151489257812,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.08525373770649082,0.648564338684082,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.785537989189738,0.06661772727966309,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3284971002321629,0.06667304039001465,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.18938269114867343,0.0015494823455810547,FL,0.08525373770649082
Event 5,event_5,100,7,3,3,20.0,100.0,0.001,0.75,0.25,18080.828418241137,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.5637800017702699,0.8332571983337402,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.07859364109675868,0.6418271064758301,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7655577792813812,0.06580591201782227,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.31434442890283876,0.06611943244934082,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.18458742158966626,0.0014462471008300781,FL,0.07859364109675868
Event 6,event_6,100,7,3,3,20.0,100.0,0.001,0.75,0.25,9224.813867063434,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.7850136305414812,0.834559440612793,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.15233847899866734,0.6761748790740967,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.9867914080525921,0.0656123161315918,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.47105183334722583,0.05965542793273926,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.23768370487904056,0.0013136863708496094,FL,0.15233847899866734
Event 7,event_7,100,7,3,3,20.0,100.0,0.001,0.75,0.25,7700.186810743369,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.8744457467281308,0.7996265888214111,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.1821493036370389,0.772913932800293,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",1.0762235242392422,0.06658697128295898,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.534399683669168,0.06620573997497559,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.2591474986186681,0.0012731552124023438,FL,0.1821493036370389
Event 8,event_8,100,7,3,3,20.0,100.0,0.001,0.75,0.25,18265.70407472638,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.5614475442374123,0.7859795093536377,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.07781615214252939,0.7089951038360596,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7632253217485234,0.06579136848449707,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3126922688402793,0.06548309326171875,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.1840276295426212,0.0013442039489746094,FL,0.07781615214252939
Event 9,event_9,100,7,3,3,20.0,100.0,0.001,0.75,0.25,14711.105654742812,150,1,1.25,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.61656606705431,0.8037829399108887,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.09618906657285901,0.6899335384368896,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.8183438445654211,0.0668940544128418,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3517346183032411,0.06587696075439453,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.19725612793245853,0.0016014575958251953,FL,0.09618906657285901
