,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,48.189519382604466,240.94759691302232,0.001,0.75,0.25,13000,150,1,1.25,0.5,9.637903876520893,9.637903876520893,Success,"[0, 0, 0, 1, 2, 2, 2]",3.984902564977447,0.9064278602600098,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,2.765655517578125e-05,Unfeasible Type A,,,,2.5987625122070312e-05,Unfeasible Type A,,,,,4.3392181396484375e-05,PL,3.984902564977447
Event 1,event_1,100,7,3,3,31.449701968484018,157.24850984242008,0.001,0.75,0.25,13000,150,1,1.25,0.5,6.289940393696803,6.289940393696803,Success,"[0, 0, 0, 1, 2, 2, 2]",2.600648432432751,0.7781009674072266,Unfeasible Type A,,,,3.218650817871094e-05,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",1.3454558823379263,0.06797337532043457,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.594621699126389,0.06684541702270508,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.3242517495533264,0.0014350414276123047,FSL,0.3242517495533264
Event 2,event_2,100,7,3,3,3.404132416160379,17.0206620808019,0.001,0.75,0.25,13000,150,1,1.25,0.5,0.6808264832320758,0.6808264832320758,Success,"[0, 0, 0, 1, 2, 2, 2]",0.28149556523204794,0.8498945236206055,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.018487130322408937,0.6191568374633789,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.14563285808834753,0.06798076629638672,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.06436216799160929,0.0675191879272461,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.035097181295560866,0.0013935565948486328,FL,0.018487130322408937
Event 3,event_3,100,7,3,3,5.835252151385683,29.176260756928418,0.001,0.75,0.25,13000,150,1,1.25,0.5,1.1670504302771367,1.1670504302771367,Success,"[0, 0, 0, 1, 2, 2, 2]",0.48253046644655545,0.8364505767822266,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.031690032523789255,0.683081865310669,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.24963906939344788,0.05489397048950195,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.11032751765327352,0.05553269386291504,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.06016243718599663,0.0012307167053222656,FL,0.031690032523789255
Event 4,event_4,100,7,3,3,16.364985300930602,81.824926504653,0.001,0.75,0.25,13000,150,1,1.25,0.5,3.2729970601861202,3.2729970601861202,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3532584001070125,0.8239748477935791,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.08887480831484663,0.7237298488616943,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7001136532116711,0.06706357002258301,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.309413913543188,0.06794905662536621,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.16872576791264543,0.001306295394897461,FL,0.08887480831484663
Event 5,event_5,100,7,3,3,1.0689622545699446,5.344811272849723,0.001,0.75,0.25,13000,150,1,1.25,0.5,0.21379245091398894,0.21379245091398894,Success,"[0, 0, 0, 1, 2, 2, 2]",0.0883949556847803,0.805203914642334,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.005805310163434866,0.7020537853240967,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.045731484354802565,0.07209110260009766,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.020210943581824396,0.07106995582580566,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.011021181746920749,0.0013473033905029297,FL,0.005805310163434866
Event 6,event_6,100,7,3,3,12.859261222413034,64.29630611206517,0.001,0.75,0.25,13000,150,1,1.25,0.5,2.571852244482607,2.571852244482607,Success,"[0, 0, 0, 1, 2, 2, 2]",1.063361985875163,0.8578205108642578,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.06983595494903246,0.697359561920166,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.5501345822491769,0.07158517837524414,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.24313094493759538,0.07345438003540039,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.13258115938674683,0.0016314983367919922,FL,0.06983595494903246
Event 7,event_7,100,7,3,3,24.32636913296936,121.63184566484681,0.001,0.75,0.25,13000,150,1,1.25,0.5,4.865273826593873,4.865273826593873,Success,"[0, 0, 0, 1, 2, 2, 2]",2.011603601708677,0.843585729598999,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.1321114167792655,0.6700663566589355,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",1.0407111799884814,0.06711959838867188,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.459940350529422,0.06534862518310547,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.2508089825320752,0.0015301704406738281,FL,0.1321114167792655
Event 8,event_8,100,7,3,3,21.921796637364096,109.60898318682048,0.001,0.75,0.25,13000,150,1,1.25,0.5,4.384359327472819,4.384359327472819,Success,"[0, 0, 0, 1, 2, 2, 2]",1.8127639530015651,0.8446691036224365,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.11905268707722429,0.6552886962890625,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.9378406913602539,0.06771278381347656,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4144769313708122,0.06767034530639648,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.22601743317473166,0.0013132095336914062,FL,0.11905268707722429
Event 9,event_9,100,7,3,3,43.883682779103886,219.41841389551945,0.001,0.75,0.25,13000,150,1,1.25,0.5,8.776736555820777,8.776736555820777,Success,"[0, 0, 0, 1, 2, 2, 2]",3.6288429996305656,0.8322291374206543,Unfeasible Type A,,,,3.147125244140625e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,,4.9114227294921875e-05,PL,3.6288429996305656
