,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8803005218505859,Success,processor_26,['processor_0'],0.10706025641164531,0.7277817726135254,Success,processor_0,['processor_1'],0.12905982906121793,0.07505059242248535,Success,processor_0,['processor_1'],0.1097012179498985,0.07864212989807129,Success,processor_2,['processor_0'],['processor_1'],0.09308338461638464,0.00022029876708984375,FSL,0.09308338461638464
Event 1,event_1,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.5538461540503206,0.8747577667236328,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10706025641164531,0.6935033798217773,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5165726495782051,0.07326912879943848,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.31402814102682153,0.07028484344482422,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.09308338461638464,0.0032422542572021484,FSL,0.09308338461638464
Event 2,event_2,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.5538461540503206,0.8787498474121094,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10706025641164531,0.6607391834259033,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5165726495782051,0.07120370864868164,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.31402814102682153,0.06971859931945801,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.09308338461638464,0.0035545825958251953,FSL,0.09308338461638464
Event 3,event_3,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.5538461540503206,0.8941435813903809,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10706025641164531,0.6623868942260742,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5165726495782051,0.06988096237182617,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.31402814102682153,0.06877708435058594,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.09308338461638464,0.003358602523803711,FSL,0.09308338461638464
Event 4,event_4,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.4205128208503206,0.8768692016601562,Success,processor_26,"['processor_0', 'processor_1']",0.10706025641164531,0.706768274307251,Success,processor_0,"['processor_1', 'processor_2']",0.258230769233547,0.060134172439575195,Success,processor_0,"['processor_1', 'processor_2']",0.1778101923088728,0.05997800827026367,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.09308338461638464,0.0007038116455078125,FSL,0.09308338461638464
Event 5,event_5,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.5538461540503206,0.8581371307373047,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10706025641164531,0.7063744068145752,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5165726495782051,0.0708305835723877,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.31402814102682153,0.06788110733032227,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.09308338461638464,0.003524303436279297,FSL,0.09308338461638464
Event 6,event_6,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.4205128208503206,0.8476297855377197,Success,processor_26,"['processor_0', 'processor_1']",0.10706025641164531,0.7044947147369385,Success,processor_0,"['processor_1', 'processor_2']",0.258230769233547,0.07010030746459961,Success,processor_0,"['processor_1', 'processor_2']",0.1778101923088728,0.07151937484741211,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.09308338461638464,0.0006968975067138672,FSL,0.09308338461638464
Event 7,event_7,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.5538461540503206,0.843203067779541,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10706025641164531,0.7015445232391357,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5165726495782051,0.0698549747467041,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.31402814102682153,0.06797003746032715,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.09308338461638464,0.0032837390899658203,FSL,0.09308338461638464
Event 8,event_8,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",0.6871794872503206,0.8534443378448486,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10706025641164531,0.6728391647338867,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.7749145299228631,0.07170438766479492,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4502460897447703,0.06891560554504395,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.09308338461638464,0.01007986068725586,FSL,0.09308338461638464
Event 9,event_9,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,10,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.4871794874503206,0.8785614967346191,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10706025641164531,0.6579058170318604,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.38740170940587604,0.06929421424865723,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2459191666678472,0.06891083717346191,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09308338461638464,0.0016248226165771484,FSL,0.09308338461638464
