,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,10.26847073668724,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.541097020254586,0.8679959774017334,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12647954350278137,0.64943528175354,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.44392794745865616,0.054811716079711914,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.28670354610438964,0.058061838150024414,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10664694887680647,0.0012176036834716797,FSL,0.10664694887680647
Event 1,event_1,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,11.265507664795429,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5267320921610635,0.823688268661499,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12646039026532332,0.6847078800201416,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4381628229837891,0.06494688987731934,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.28507552092045707,0.06525325775146484,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10525412544885854,0.001605987548828125,FSL,0.10525412544885854
Event 2,event_2,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,6.632105196071408,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6300906882563004,0.7873189449310303,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12659820172678365,0.6997947692871094,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4796440728833442,0.06593012809753418,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.29678949514458397,0.06573963165283203,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.1152757749262527,0.0014159679412841797,FSL,0.1152757749262527
Event 3,event_3,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,3.4222801409507877,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.8657926238554454,0.7873361110687256,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12691247097424918,0.682795524597168,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.5742391163704677,0.06597256660461426,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3235023811791537,0.0666811466217041,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.13812943460194582,0.0013577938079833984,FL,0.12691247097424918
Event 4,event_4,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,2.2241585392376013,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1281349409988055,0.8310635089874268,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.1272622607304403,0.7258110046386719,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.6795258329840029,0.06945991516113281,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3532345104554013,0.06791019439697266,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.16356614567216604,0.00139617919921875,FL,0.1272622607304403
Event 5,event_5,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,9.23658833977223,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5592296834736707,0.8823196887969971,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12650372038707347,0.6466033458709717,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4512051896305821,0.06896805763244629,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.28875858126921927,0.06749701499938965,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10840509190252892,0.0012810230255126953,FSL,0.10840509190252892
Event 6,event_6,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,7.359334888320568,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6052576201370405,0.8353190422058105,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.1265650909692913,0.6723861694335938,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4696777348781478,0.05844306945800781,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2939750807577345,0.0576171875,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.11286796064140926,0.0012679100036621094,FSL,0.11286796064140926
Event 7,event_7,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,2.7257820807115243,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.9902331880804843,0.8171818256378174,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12707839172654922,0.7067015171051025,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.6241812628127833,0.06748151779174805,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3376056451246581,0.06539630889892578,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.15019519170920556,0.0012454986572265625,FL,0.12707839172654922
Event 8,event_8,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,8.786197810145243,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5684793363512172,0.8049166202545166,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12651605325757687,0.7009587287902832,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.454917383652104,0.0703732967376709,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2898068752620079,0.06638908386230469,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10930193824553586,0.001359701156616211,FSL,0.10930193824553586
Event 9,event_9,100,7,3,3,20.0,100.0,0.001,0.75,0.25,11000,150,1,11.312550796305228,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5261168676022168,0.7947607040405273,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.12645956996591154,0.6847116947174072,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4379159128608386,0.06609606742858887,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.28500579547045446,0.0651557445526123,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10519447327563276,0.0015399456024169922,FSL,0.10519447327563276
