,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,49.79108447254738,248.9554223627369,0.001,0.75,0.25,13000,150,1,5,0.5,9.958216894509476,9.958216894509476,Success,"[0, 0, 0, 1, 2, 2, 2]",1.6277854545782504,0.8692317008972168,Unfeasible Type A,,,,2.86102294921875e-05,Unfeasible Type A,,,,2.6702880859375e-05,Unfeasible Type A,,,,2.6226043701171875e-05,Unfeasible Type A,,,,,4.291534423828125e-05,PL,1.6277854545782504
Event 1,event_1,100,7,3,3,35.01293996138034,175.0646998069017,0.001,0.75,0.25,13000,150,1,5,0.5,7.002587992276068,7.002587992276068,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1446538069007477,0.8729150295257568,Unfeasible Type A,,,,5.245208740234375e-05,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7953024721525801,0.0724642276763916,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4635854275240073,0.07688689231872559,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.1912466033368221,0.0020835399627685547,FSL,0.1912466033368221
Event 2,event_2,100,7,3,3,41.46155252521494,207.3077626260747,0.001,0.75,0.25,13000,150,1,5,0.5,8.292310505042988,8.292310505042988,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3554738331120912,0.8831150531768799,Unfeasible Type A,,,,3.790855407714844e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,2.86102294921875e-05,Unfeasible Type A,,,,,4.744529724121094e-05,PL,1.3554738331120912
Event 3,event_3,100,7,3,3,42.330863299870835,211.65431649935417,0.001,0.75,0.25,13000,150,1,5,0.5,8.466172659974166,8.466172659974166,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3838936084489708,0.8597116470336914,Unfeasible Type A,,,,3.1948089599609375e-05,Unfeasible Type A,,,,2.9802322387695312e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.9114227294921875e-05,PL,1.3838936084489708
Event 4,event_4,100,7,3,3,0.8664965512815629,4.332482756407814,0.001,0.75,0.25,13000,150,1,5,0.5,0.1732993102563126,0.1732993102563126,Success,"[0, 0, 0, 1, 2, 2, 2]",0.028327771884540283,0.8856709003448486,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.004647994888787923,0.6656918525695801,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.019682061839088733,0.06943869590759277,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.011472763345703824,0.06826901435852051,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.004732950801977806,0.0015997886657714844,FL,0.004647994888787923
Event 5,event_5,100,7,3,3,38.06952166905335,190.34760834526674,0.001,0.75,0.25,13000,150,1,5,0.5,7.6139043338106696,7.6139043338106696,Success,"[0, 0, 0, 1, 2, 2, 2]",1.2445805166154273,0.8897883892059326,Unfeasible Type A,,,,7.581710815429688e-05,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.8647312887877237,0.06978344917297363,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.5040558004567858,0.0691673755645752,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.2079421698918057,0.0016977787017822266,FSL,0.2079421698918057
Event 6,event_6,100,7,3,3,56.5366616183506,282.68330809175296,0.001,0.75,0.25,13000,150,1,5,0.5,11.307332323670119,11.307332323670119,Success,"[0, 0, 0, 1, 2, 2, 2]",1.848313938280989,0.8471271991729736,Unfeasible Type A,,,,3.552436828613281e-05,Unfeasible Type A,,,,3.147125244140625e-05,Unfeasible Type A,,,,3.0994415283203125e-05,Unfeasible Type A,,,,,4.9591064453125e-05,PL,1.848313938280989
Event 7,event_7,100,7,3,3,19.21937449263118,96.09687246315589,0.001,0.75,0.25,13000,150,1,5,0.5,3.8438748985262357,3.8438748985262357,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6283257048272136,0.8762638568878174,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10309510666815436,0.6777403354644775,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4365590568555908,0.060148000717163086,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2544722594205658,0.06125044822692871,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10497947598928102,0.002042531967163086,FL,0.10309510666815436
Event 8,event_8,100,7,3,3,44.37457526656167,221.87287633280835,0.001,0.75,0.25,13000,150,1,5,0.5,8.874915053312334,8.874915053312334,Success,"[0, 0, 0, 1, 2, 2, 2]",1.4507072689257285,0.8689913749694824,Unfeasible Type A,,,,3.2901763916015625e-05,Unfeasible Type A,,,,4.696846008300781e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.935264587402344e-05,PL,1.4507072689257285
Event 9,event_9,100,7,3,3,60.21928665862188,301.0964332931094,0.001,0.75,0.25,13000,150,1,5,0.5,12.043857331724377,12.043857331724377,Success,"[0, 0, 0, 1, 2, 2, 2]",1.9687074492620367,0.8728909492492676,Unfeasible Type A,,,,3.0517578125e-05,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,,4.863739013671875e-05,PL,1.9687074492620367
