,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6538461541169873,0.8613107204437256,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10728247863386754,0.7331323623657227,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.45429059829476487,0.07651686668395996,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2648080555567361,0.07629632949829102,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10924338461638462,0.0022733211517333984,FL,0.10728247863386754
Event 1,event_1,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",1.0538461539169872,0.8203079700469971,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10728247863386754,0.7180728912353516,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.9088034188117521,0.0722665786743164,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4691349786336592,0.06944465637207031,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.10924338461638462,0.01019144058227539,FL,0.10728247863386754
Event 2,event_2,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6538461541169873,0.8480918407440186,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10728247863386754,0.722318172454834,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.45429059829476487,0.07313990592956543,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2648080555567361,0.07270455360412598,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10924338461638462,0.0016474723815917969,FL,0.10728247863386754
Event 3,event_3,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8831632137298584,Success,processor_26,['processor_0'],0.10728247863386754,0.676349401473999,Success,processor_0,['processor_1'],0.15128205128344016,0.07008218765258789,Success,processor_0,['processor_1'],0.12859010683878738,0.07328462600708008,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.00019502639770507812,FL,0.10728247863386754
Event 4,event_4,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.787179487383654,0.8831720352172852,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10728247863386754,0.6656155586242676,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.6057948718004273,0.07558608055114746,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.33291702991571037,0.07239985466003418,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.10924338461638462,0.0033495426177978516,FL,0.10728247863386754
Event 5,event_5,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8895039558410645,Success,processor_26,['processor_0'],0.10728247863386754,0.673992395401001,Success,processor_0,['processor_1'],0.15128205128344016,0.0581364631652832,Success,processor_0,['processor_1'],0.12859010683878738,0.0591585636138916,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.00023317337036132812,FL,0.10728247863386754
Event 6,event_6,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.8727753162384033,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.8250861167907715,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.06641507148742676,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.05468893051147461,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.005011558532714844,FL,0.10728247863386754
Event 7,event_7,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.8281645774841309,Success,processor_26,['processor_0'],0.10728247863386754,0.7410154342651367,Success,processor_0,['processor_1'],0.15128205128344016,0.06844043731689453,Success,processor_0,['processor_1'],0.12859010683878738,0.06817460060119629,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.0002598762512207031,FL,0.10728247863386754
Event 8,event_8,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",1.0538461539169872,0.8286952972412109,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10728247863386754,0.7403140068054199,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.9088034188117521,0.07493019104003906,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4691349786336592,0.07201886177062988,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.10924338461638462,0.010689496994018555,FL,0.10728247863386754
Event 9,event_9,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6538461541169873,0.8314013481140137,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10728247863386754,0.7452614307403564,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.45429059829476487,0.07106184959411621,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2648080555567361,0.07056379318237305,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10924338461638462,0.0014908313751220703,FL,0.10728247863386754
