,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,1.9312980078696587,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",2.366980579511949,0.9004287719726562,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,2.7894973754882812e-05,Unfeasible Type A,,,,2.765655517578125e-05,Unfeasible Type A,,,,,4.506111145019531e-05,PL,2.366980579511949
Event 1,event_1,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,9.896586620886515,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.9778421077878099,0.8682045936584473,Unfeasible Type A,,,,3.600120544433594e-05,Unfeasible Type A,,,,2.86102294921875e-05,Unfeasible Type A,,,,2.86102294921875e-05,Unfeasible Type A,,,,,6.723403930664062e-05,PL,0.9778421077878099
Event 2,event_2,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,6.582135945873816,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1474468642094038,0.7572834491729736,Unfeasible Type A,,,,3.528594970703125e-05,Unfeasible Type A,,,,3.123283386230469e-05,Unfeasible Type A,,,,4.458427429199219e-05,Unfeasible Type A,,,,,4.482269287109375e-05,PL,1.1474468642094038
Event 3,event_3,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,4.6942066301853504,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3511207856283514,0.8384764194488525,Unfeasible Type A,,,,2.9802322387695312e-05,Unfeasible Type A,,,,2.9087066650390625e-05,Unfeasible Type A,,,,2.8371810913085938e-05,Unfeasible Type A,,,,,4.6253204345703125e-05,PL,1.3511207856283514
Event 4,event_4,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,6.716166542919766,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1373405128564027,0.7622096538543701,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,2.7894973754882812e-05,Unfeasible Type A,,,,2.7179718017578125e-05,Unfeasible Type A,,,,,4.506111145019531e-05,PL,1.1373405128564027
Event 5,event_5,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,8.117491088800545,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.0516615507213576,0.823305606842041,Unfeasible Type A,,,,3.0994415283203125e-05,Unfeasible Type A,,,,2.86102294921875e-05,Unfeasible Type A,,,,2.7894973754882812e-05,Unfeasible Type A,,,,,4.6253204345703125e-05,PL,1.0516615507213576
Event 6,event_6,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,12.482255576870058,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.9080713940559907,0.8405587673187256,Unfeasible Type A,,,,3.600120544433594e-05,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,,4.76837158203125e-05,PL,0.9080713940559907
Event 7,event_7,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,12.326129266763372,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.9114538726154842,0.7956743240356445,Unfeasible Type A,,,,6.794929504394531e-05,Unfeasible Type A,,,,0.00011754035949707031,Unfeasible Type A,,,,6.413459777832031e-05,Unfeasible Type A,,,,,0.00011730194091796875,PL,0.9114538726154842
Event 8,event_8,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,11.293779853823219,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.936173357958987,0.8552126884460449,Unfeasible Type A,,,,3.719329833984375e-05,Unfeasible Type A,,,,3.528594970703125e-05,Unfeasible Type A,,,,3.409385681152344e-05,Unfeasible Type A,,,,,5.745887756347656e-05,PL,0.936173357958987
Event 9,event_9,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,2.9523915901614575,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.7700538316045045,0.8169169425964355,Unfeasible Type A,,,,3.2901763916015625e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,,4.839897155761719e-05,PL,1.7700538316045045
Event 10,event_10,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,3.016980490431914,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.7458830789594728,0.882849931716919,Unfeasible Type A,,,,3.6716461181640625e-05,Unfeasible Type A,,,,3.600120544433594e-05,Unfeasible Type A,,,,3.504753112792969e-05,Unfeasible Type A,,,,,5.7220458984375e-05,PL,1.7458830789594728
Event 11,event_11,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13000,150,1,6.9831741359284125,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1183634922954238,0.8522496223449707,Unfeasible Type A,,,,3.1948089599609375e-05,Unfeasible Type A,,,,3.0517578125e-05,Unfeasible Type A,,,,2.9802322387695312e-05,Unfeasible Type A,,,,,4.887580871582031e-05,PL,1.1183634922954238
