,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,40.0,200.0,0.001,0.75,0.25,7758.000954166355,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.740826541966492,0.8540639877319336,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,2.8133392333984375e-05,Unfeasible Type A,,,,2.7418136596679688e-05,Unfeasible Type A,,,,,4.482269287109375e-05,PL,1.740826541966492
Event 1,event_1,100,7,3,3,40.0,200.0,0.001,0.75,0.25,18359.74136830873,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1205583188435375,0.88442063331604,Unfeasible Type A,,,,3.0517578125e-05,Unfeasible Type A,,,,2.8371810913085938e-05,Unfeasible Type A,,,,2.765655517578125e-05,Unfeasible Type A,,,,,4.57763671875e-05,PL,1.1205583188435375
Event 2,event_2,100,7,3,3,40.0,200.0,0.001,0.75,0.25,15029.114011734488,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.2211460148774096,0.8343424797058105,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,2.8848648071289062e-05,Unfeasible Type A,,,,2.8133392333984375e-05,Unfeasible Type A,,,,,6.747245788574219e-05,PL,1.2211460148774096
Event 3,event_3,100,7,3,3,40.0,200.0,0.001,0.75,0.25,10569.942676557017,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.4550657709964478,0.8881323337554932,Unfeasible Type A,,,,3.24249267578125e-05,Unfeasible Type A,,,,3.0994415283203125e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.9114227294921875e-05,PL,1.4550657709964478
Event 4,event_4,100,7,3,3,40.0,200.0,0.001,0.75,0.25,17267.221918922412,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1492766303159043,0.8719525337219238,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,3.0517578125e-05,Unfeasible Type A,,,,2.9087066650390625e-05,Unfeasible Type A,,,,,4.839897155761719e-05,PL,1.1492766303159043
Event 5,event_5,100,7,3,3,40.0,200.0,0.001,0.75,0.25,18453.118606383316,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1182615174345587,0.8502700328826904,Unfeasible Type A,,,,3.457069396972656e-05,Unfeasible Type A,,,,2.9802322387695312e-05,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,,5.1021575927734375e-05,PL,1.1182615174345587
Event 6,event_6,100,7,3,3,40.0,200.0,0.001,0.75,0.25,12631.301826601413,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3264033632099106,0.8956148624420166,Unfeasible Type A,,,,3.123283386230469e-05,Unfeasible Type A,,,,2.9802322387695312e-05,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,,4.863739013671875e-05,PL,1.3264033632099106
Event 7,event_7,100,7,3,3,40.0,200.0,0.001,0.75,0.25,15290.546797876486,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.2116657076891446,0.8470478057861328,Unfeasible Type A,,,,3.4809112548828125e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,2.9087066650390625e-05,Unfeasible Type A,,,,,7.462501525878906e-05,PL,1.2116657076891446
Event 8,event_8,100,7,3,3,40.0,200.0,0.001,0.75,0.25,13846.233661017322,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.2685150497571058,0.9006876945495605,Unfeasible Type A,,,,3.552436828613281e-05,Unfeasible Type A,,,,3.409385681152344e-05,Unfeasible Type A,,,,3.314018249511719e-05,Unfeasible Type A,,,,,8.130073547363281e-05,PL,1.2685150497571058
Event 9,event_9,100,7,3,3,40.0,200.0,0.001,0.75,0.25,9123.523121522192,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.5800565082048637,0.8477869033813477,Unfeasible Type A,,,,3.314018249511719e-05,Unfeasible Type A,,,,3.6716461181640625e-05,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,,4.9114227294921875e-05,PL,1.5800565082048637
Event 10,event_10,100,7,3,3,40.0,200.0,0.001,0.75,0.25,12862.028692954482,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3145686064914068,0.8869905471801758,Unfeasible Type A,,,,4.100799560546875e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.887580871582031e-05,PL,1.3145686064914068
Event 11,event_11,100,7,3,3,40.0,200.0,0.001,0.75,0.25,15708.543752262569,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1971635397823805,0.8579552173614502,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,3.0517578125e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,,4.887580871582031e-05,PL,1.1971635397823805
Event 12,event_12,100,7,3,3,40.0,200.0,0.001,0.75,0.25,14826.451529422504,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.2287251824730538,0.8564965724945068,Unfeasible Type A,,,,6.604194641113281e-05,Unfeasible Type A,,,,3.361701965332031e-05,Unfeasible Type A,,,,4.9591064453125e-05,Unfeasible Type A,,,,,5.125999450683594e-05,PL,1.2287251824730538
Event 13,event_13,100,7,3,3,40.0,200.0,0.001,0.75,0.25,12377.998724516256,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3399042008959476,0.8764474391937256,Unfeasible Type A,,,,3.2901763916015625e-05,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.9114227294921875e-05,PL,1.3399042008959476
Event 14,event_14,100,7,3,3,40.0,200.0,0.001,0.75,0.25,11932.518317171562,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.365038386553736,0.8335645198822021,Unfeasible Type A,,,,3.147125244140625e-05,Unfeasible Type A,,,,2.956390380859375e-05,Unfeasible Type A,,,,2.9087066650390625e-05,Unfeasible Type A,,,,,4.887580871582031e-05,PL,1.365038386553736
Event 15,event_15,100,7,3,3,40.0,200.0,0.001,0.75,0.25,18165.405713746648,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.1254141053099447,0.8931624889373779,Unfeasible Type A,,,,3.314018249511719e-05,Unfeasible Type A,,,,3.0517578125e-05,Unfeasible Type A,,,,2.9802322387695312e-05,Unfeasible Type A,,,,,4.887580871582031e-05,PL,1.1254141053099447
Event 16,event_16,100,7,3,3,40.0,200.0,0.001,0.75,0.25,7998.99043323203,150,1,5,0.5,8.0,8.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.708464804468123,0.8433630466461182,Unfeasible Type A,,,,5.030632019042969e-05,Unfeasible Type A,,,,3.266334533691406e-05,Unfeasible Type A,,,,3.0279159545898438e-05,Unfeasible Type A,,,,,0.00010442733764648438,PL,1.708464804468123
