,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.8733558654785156,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.7181875705718994,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.07793116569519043,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.07369256019592285,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.006880521774291992,FL,0.10728247863386754
Event 1,event_1,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.812366247177124,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.7098453044891357,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.07098627090454102,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.06782221794128418,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.007361888885498047,FL,0.10728247863386754
Event 2,event_2,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",1.0538461539169872,0.8382909297943115,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10728247863386754,0.7085342407226562,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.9088034188117521,0.07195568084716797,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4691349786336592,0.0683591365814209,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.10924338461638462,0.009712457656860352,FL,0.10728247863386754
Event 3,event_3,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.8783962726593018,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.661339282989502,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.07030248641967773,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.06926989555358887,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0006606578826904297,FL,0.10728247863386754
Event 4,event_4,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.870903491973877,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.6509256362915039,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.07054615020751953,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.06813192367553711,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.006459951400756836,FL,0.10728247863386754
Event 5,event_5,100,7,1,1,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 0, 0, 0]",0.3205128209503206,0.884657621383667,Success,processor_26,['processor_0'],0.10728247863386754,0.7045004367828369,Success,processor_0,['processor_1'],0.15128205128344016,0.06014585494995117,Success,processor_0,['processor_1'],0.12859010683878738,0.059957027435302734,Success,processor_2,['processor_0'],['processor_1'],0.10924338461638462,0.00018072128295898438,FL,0.10728247863386754
Event 6,event_6,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",1.0538461539169872,0.8705928325653076,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10728247863386754,0.7087335586547852,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.9088034188117521,0.07169938087463379,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4691349786336592,0.0703125,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.10924338461638462,0.009799003601074219,FL,0.10728247863386754
Event 7,event_7,100,7,6,6,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 5]",1.0538461539169872,0.830406904220581,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.10728247863386754,0.7129757404327393,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.9088034188117521,0.0719907283782959,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5', 'processor_6']",0.4691349786336592,0.07047271728515625,Success,processor_12,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8', 'processor_10']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9', 'processor_11']",0.10924338461638462,0.010134220123291016,FL,0.10728247863386754
Event 8,event_8,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.8454315662384033,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.7106797695159912,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.07011151313781738,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.06982588768005371,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.0007064342498779297,FL,0.10728247863386754
Event 9,event_9,100,7,2,2,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 0, 1, 1, 1]",0.5205128208503206,0.8678042888641357,Success,processor_26,"['processor_0', 'processor_1']",0.10728247863386754,0.7664196491241455,Success,processor_0,"['processor_1', 'processor_2']",0.30278632478910256,0.06940793991088867,Success,processor_0,"['processor_1', 'processor_2']",0.19669908119776172,0.06985259056091309,Success,processor_4,"['processor_0', 'processor_2']","['processor_1', 'processor_3']",0.10924338461638462,0.000598907470703125,FL,0.10728247863386754
Event 10,event_10,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.8746085166931152,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.6996669769287109,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.07085728645324707,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.06966972351074219,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.007340431213378906,FL,0.10728247863386754
Event 11,event_11,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6538461541169873,0.8908977508544922,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10728247863386754,0.6940650939941406,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.45429059829476487,0.0772087574005127,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2648080555567361,0.07150959968566895,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.10924338461638462,0.001546621322631836,FL,0.10728247863386754
Event 12,event_12,100,7,5,5,20.0,100.0,0.001,0.75,0.25,13000,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 4, 4]",0.9205128206503207,0.9020864963531494,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3', 'processor_4']",0.10728247863386754,0.7166152000427246,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.7572991453060895,0.06073880195617676,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4', 'processor_5']",0.4010260042746848,0.060314178466796875,Success,processor_10,"['processor_0', 'processor_2', 'processor_4', 'processor_6', 'processor_8']","['processor_1', 'processor_3', 'processor_5', 'processor_7', 'processor_9']",0.10924338461638462,0.006785154342651367,FL,0.10728247863386754
