,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,12.228706475351547,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.4568041505351723,0.8862202167510986,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10701975596242512,0.7206895351409912,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3752110741905965,0.07097387313842773,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2424766284841304,0.05928397178649902,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09013819194909184,0.0012145042419433594,FSL,0.09013819194909184
Event 1,event_1,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,12.108853632766806,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.4581531554687337,0.757474422454834,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10702155463566987,0.6827454566955566,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.37575247483726576,0.06716418266296387,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.24262951570993402,0.0643465518951416,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09026899146744995,0.0013370513916015625,FSL,0.09026899146744995
Event 2,event_2,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,4.805324566692609,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6673503014855648,0.7634539604187012,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10730048416369231,0.6845338344573975,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.45971026277202076,0.06541633605957031,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.26633852559184157,0.06524848937988281,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.11055274674524192,0.0015497207641601562,FL,0.10730048416369231
Event 3,event_3,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,10.77898952750084,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.4751346118536273,0.8220574855804443,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10704419657751639,0.636016845703125,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3825676993330698,0.06583905220031738,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.24455408076688867,0.06484699249267578,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09191551347852925,0.0013692378997802734,FSL,0.09191551347852925
Event 4,event_4,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,3.775324919611315,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.7619759271798727,0.8457484245300293,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10742665166461805,0.6596572399139404,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.49768668055066967,0.06818127632141113,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2770627631705298,0.06710624694824219,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.11972764741256199,0.0014567375183105469,FL,0.10742665166461805
Event 5,event_5,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,9.807742478921044,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.49044659201069135,0.8191962242126465,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10706461255105913,0.7533912658691406,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3887129073694382,0.057709455490112305,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2462894385180226,0.05709075927734375,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.09340016307455819,0.001264333724975586,FSL,0.09340016307455819
Event 6,event_6,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,1.4905776672476487,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.438647556925358,0.7977781295776367,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10832888050427869,0.7078864574432373,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7692575612885244,0.06601929664611816,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3537522145416848,0.06603026390075684,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.18533772863268427,0.0015244483947753906,FL,0.10832888050427869
Event 7,event_7,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,4.095026327792226,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.7275106110921783,0.7863953113555908,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10738069790983445,0.7097878456115723,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4838546003608082,0.06539368629455566,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.27315669401392434,0.06670618057250977,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.11638589036469912,0.0013508796691894531,FL,0.10738069790983445
Event 8,event_8,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,9.894559035074462,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",0.4889555639881391,0.800433874130249,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10706262451369573,0.6872923374176025,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.38811450812305387,0.06590676307678223,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.24612045534213328,0.06555533409118652,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.0932555929974915,0.001369476318359375,FSL,0.0932555929974915
Event 9,event_9,100,7,3,3,20.0,100.0,0.001,0.75,0.25,13000,150,1,1.4295033228923844,0.5,4.0,4.0,Success,"[0, 0, 0, 1, 2, 2, 2]",1.4864189365486857,0.8331363201141357,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.10839257567710979,0.6667377948760986,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7884298083106868,0.06553769111633301,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.35916630423232865,0.06560325622558594,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.18996964160096216,0.0012767314910888672,FL,0.10839257567710979
