,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,4,4,20.0,100.0,0.001,0.75,0.25,12130.701228979824,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.8101477722097931,0.9469044208526611,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.1149386042002937,0.6294848918914795,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.636419251568613,0.0662531852722168,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.3540670182238364,0.05781149864196777,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.11475579502421147,0.0029764175415039062,FSL,0.11475579502421147
Event 1,event_1,100,7,4,4,20.0,100.0,0.001,0.75,0.25,8481.353898692989,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.9579404324082869,0.7254583835601807,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.16420302132333858,0.5879952907562256,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.8334761318332714,0.059626102447509766,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.49015959365496437,0.059304237365722656,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.15022617535280378,0.0030517578125,FSL,0.15022617535280378
Event 2,event_2,100,7,4,4,20.0,100.0,0.001,0.75,0.25,13559.618083669662,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.773951624378946,0.7558279037475586,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10287317332848085,0.5849835872650146,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5881577211274834,0.058461904525756836,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.3207363577406305,0.0589747428894043,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.10606868479650625,0.0030546188354492188,FL,0.10287317332848085
Event 3,event_3,100,7,4,4,20.0,100.0,0.001,0.75,0.25,11655.193136505346,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.8241611002849145,0.753380537033081,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.11960973224310496,0.5882654190063477,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.6551036890021082,0.0590822696685791,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.366970973708116,0.05874323844909668,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.11811900721503557,0.0030813217163085938,FSL,0.11811900721503557
Event 4,event_4,100,7,4,4,20.0,100.0,0.001,0.75,0.25,19046.68573341692,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.6854273859263464,0.7516236305236816,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.07336497581196308,0.5849730968475342,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.4701254031906841,0.05874514579772949,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.23922018783805815,0.059654951095581055,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.08482278258461344,0.0030837059020996094,FL,0.07336497581196308
Event 5,event_5,100,7,4,4,20.0,100.0,0.001,0.75,0.25,7927.475977389927,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.9922648116713323,0.7546660900115967,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.175644526843526,0.5856771469116211,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.8792419708506652,0.05884075164794922,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5217666651273152,0.05852699279785156,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.15846405932733879,0.003079652786254883,FSL,0.15846405932733879
Event 6,event_6,100,7,4,4,20.0,100.0,0.001,0.75,0.25,17169.399051024633,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.7093464866061671,0.7514784336090088,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.08133804126403751,0.5861656665802002,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5020175374304447,0.05873823165893555,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.26124572015570713,0.058696746826171875,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.09056338971010704,0.003046751022338867,FL,0.08133804126403751
Event 7,event_7,100,7,4,4,20.0,100.0,0.001,0.75,0.25,12921.637910312817,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.7891232080296933,0.7505295276641846,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.10793038810750813,0.5881457328796387,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.6083864993284797,0.05877184867858887,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.33470687488015505,0.05984902381896973,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.10970987943740586,0.0030388832092285156,FL,0.10793038810750813
Event 8,event_8,100,7,4,4,20.0,100.0,0.001,0.75,0.25,7773.502946579086,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",1.0026755544085049,0.7474074363708496,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.17911478830357386,0.5881040096282959,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.8931229611668952,0.05859255790710449,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.5313532358633034,0.05902671813964844,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.16096264757857318,0.0030508041381835938,FSL,0.16096264757857318
Event 9,event_9,100,7,4,4,20.0,100.0,0.001,0.75,0.25,9067.702339292728,150,1,5,0.5,4.0,4.0,Success,"[0, 0, 1, 2, 3, 3, 3]",0.9261730016356404,0.7526955604553223,Success,processor_26,"['processor_0', 'processor_1', 'processor_2', 'processor_3']",0.15361383537588197,0.630103588104248,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.7911195574697426,0.05891251564025879,Success,processor_0,"['processor_1', 'processor_2', 'processor_3', 'processor_4']",0.46090704848206415,0.0580592155456543,Success,processor_8,"['processor_0', 'processor_2', 'processor_4', 'processor_6']","['processor_1', 'processor_3', 'processor_5', 'processor_7']",0.142601961470635,0.002980470657348633,FSL,0.142601961470635
