,Event Name,No. of Processors,No. of Layers,Min. Split,Min. Clients,NN Flops [TFLOPs],NN Memory [GB],Fraction Aggregator,Fraction Server / Edge,Fraction Clients,Avg. Processor Power [GFLOP/s],Avg. Processor Full Residual [GB],Avg. Processor Portion,Avg. Link Bandwidth [GB/s],Avg. Input Data Size [GB],Avg. Intermediate Results Size [GB],Avg. Weights Data Size [GB],PL Outcome,PL Best Path,PL Train Time [h],PL Runtime [s],FL Outcome,FL Aggregator,FL Clients,FL Train Time [h],FL Runtime [s],SL Outcome,SL Server,SL Clients,SL Train Time [h],SL Runtime [s],PSL Outcome,PSL Server,PSL Clients,PSL Train Time [h],PSL Runtime [s],FSL Outcome,FSL Agg Server,FSL Edge Servers,FSL Clients,FSL Train Time [h],FSL Runtime [s],Best Architecture,Best Train Time [h]
Event 0,event_0,100,7,3,3,44.54987497273995,222.74937486369973,0.001,0.75,0.25,13000,150,1,5,0.5,8.909974994547989,8.909974994547989,Success,"[0, 0, 0, 1, 2, 2, 2]",1.456438220860817,0.9516630172729492,Unfeasible Type A,,,,3.457069396972656e-05,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,2.8133392333984375e-05,Unfeasible Type A,,,,,4.649162292480469e-05,PL,1.456438220860817
Event 1,event_1,100,7,3,3,49.342625825418935,246.7131291270947,0.001,0.75,0.25,13000,150,1,5,0.5,9.868525165083788,9.868525165083788,Success,"[0, 0, 0, 1, 2, 2, 2]",1.6131243064930725,0.8189210891723633,Unfeasible Type A,,,,3.123283386230469e-05,Unfeasible Type A,,,,2.9325485229492188e-05,Unfeasible Type A,,,,2.9087066650390625e-05,Unfeasible Type A,,,,,4.8160552978515625e-05,PL,1.6131243064930725
Event 2,event_2,100,7,3,3,41.92820153572565,209.64100767862823,0.001,0.75,0.25,13000,150,1,5,0.5,8.38564030714513,8.38564030714513,Success,"[0, 0, 0, 1, 2, 2, 2]",1.3707296661542405,0.909233808517456,Unfeasible Type A,,,,3.2901763916015625e-05,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,,4.935264587402344e-05,PL,1.3707296661542405
Event 3,event_3,100,7,3,3,33.62427725376997,168.12138626884985,0.001,0.75,0.25,13000,150,1,5,0.5,6.724855450753994,6.724855450753994,Success,"[0, 0, 0, 1, 2, 2, 2]",1.0992552183642008,0.8687570095062256,Unfeasible Type A,,,,3.314018249511719e-05,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7637596515393724,0.06977605819702148,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4451989739527666,0.06906294822692871,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.18366149262339604,0.001680612564086914,FSL,0.18366149262339604
Event 4,event_4,100,7,3,3,45.3155276037482,226.57763801874103,0.001,0.75,0.25,13000,150,1,5,0.5,9.063105520749641,9.063105520749641,Success,"[0, 0, 0, 1, 2, 2, 2]",1.4814691722693727,0.876577615737915,Unfeasible Type A,,,,5.4836273193359375e-05,Unfeasible Type A,,,,3.24249267578125e-05,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,,5.054473876953125e-05,PL,1.4814691722693727
Event 5,event_5,100,7,3,3,15.64483494747827,78.22417473739135,0.001,0.75,0.25,13000,150,1,5,0.5,3.128966989495654,3.128966989495654,Success,"[0, 0, 0, 1, 2, 2, 2]",0.5114657581110924,0.8402235507965088,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.0839208335494635,0.6971335411071777,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3553650714265449,0.06973433494567871,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.20714391609764668,0.06973052024841309,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.08545473607157897,0.001575469970703125,FL,0.0839208335494635
Event 6,event_6,100,7,3,3,45.23925600611375,226.19628003056874,0.001,0.75,0.25,13000,150,1,5,0.5,9.04785120122275,9.04785120122275,Success,"[0, 0, 0, 1, 2, 2, 2]",1.4789756777303065,0.8688547611236572,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,3.0040740966796875e-05,Unfeasible Type A,,,,2.9087066650390625e-05,Unfeasible Type A,,,,,4.8160552978515625e-05,PL,1.4789756777303065
Event 7,event_7,100,7,3,3,26.568788969435353,132.84394484717677,0.001,0.75,0.25,13000,150,1,5,0.5,5.313757793887071,5.313757793887071,Success,"[0, 0, 0, 1, 2, 2, 2]",0.8685950243591885,0.8472185134887695,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.142518276746603,0.7196271419525146,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.6034975518432384,0.0703728199005127,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.35178146727428405,0.07217550277709961,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.14512322160865074,0.001926422119140625,FL,0.142518276746603
Event 8,event_8,100,7,3,3,20.255120695558627,101.27560347779314,0.001,0.75,0.25,13000,150,1,5,0.5,4.051024139111726,4.051024139111726,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6621866383982671,0.8398551940917969,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.1086509776623661,0.7121751308441162,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.460085544965847,0.06917953491210938,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2681859563228792,0.06890535354614258,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.11063689702979738,0.0015766620635986328,FL,0.1086509776623661
Event 9,event_9,100,7,3,3,20.740144830636947,103.70072415318472,0.001,0.75,0.25,13000,150,1,5,0.5,4.148028966127389,4.148028966127389,Success,"[0, 0, 0, 1, 2, 2, 2]",0.6780431966669097,0.8345785140991211,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.11125270723275492,0.6986916065216064,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.47110264019135256,0.06897282600402832,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.2746078712282594,0.07028603553771973,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.11328618093660266,0.0017695426940917969,FL,0.11125270723275492
Event 10,event_10,100,7,3,3,6.884578945210018,34.42289472605009,0.001,0.75,0.25,13000,150,1,5,0.5,1.3769157890420036,1.3769157890420036,Success,"[0, 0, 0, 1, 2, 2, 2]",0.22507277330475012,0.8739984035491943,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.0369297346805442,0.6574935913085938,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.1563799744040824,0.07015562057495117,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.09115459819116967,0.06862497329711914,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.03760473528232785,0.0015687942504882812,FL,0.0369297346805442
Event 11,event_11,100,7,3,3,14.263593315108059,71.3179665755403,0.001,0.75,0.25,13000,150,1,5,0.5,2.8527186630216117,2.8527186630216117,Success,"[0, 0, 0, 1, 2, 2, 2]",0.46630978164980363,0.8791196346282959,Success,processor_26,"['processor_0', 'processor_1', 'processor_2']",0.07651168225391115,0.6453588008880615,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.3239908170488775,0.06962180137634277,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.18885572055162986,0.06785249710083008,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.07791016052698893,0.0016658306121826172,FL,0.07651168225391115
Event 12,event_12,100,7,3,3,34.552450206471015,172.7622510323551,0.001,0.75,0.25,13000,150,1,5,0.5,6.910490041294204,6.910490041294204,Success,"[0, 0, 0, 1, 2, 2, 2]",1.129599334137957,0.8977451324462891,Unfeasible Type A,,,,3.409385681152344e-05,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.7848426638393581,0.07140493392944336,Success,processor_0,"['processor_1', 'processor_2', 'processor_3']",0.4574883576939678,0.06913876533508301,Success,processor_6,"['processor_0', 'processor_2', 'processor_4']","['processor_1', 'processor_3', 'processor_5']",0.18873133036647197,0.001688241958618164,FSL,0.18873133036647197
Event 13,event_13,100,7,3,3,53.40604144264876,267.0302072132438,0.001,0.75,0.25,13000,150,1,5,0.5,10.681208288529751,10.681208288529751,Success,"[0, 0, 0, 1, 2, 2, 2]",1.7459667401874563,0.8313469886779785,Unfeasible Type A,,,,3.075599670410156e-05,Unfeasible Type A,,,,2.9802322387695312e-05,Unfeasible Type A,,,,2.9087066650390625e-05,Unfeasible Type A,,,,,4.8160552978515625e-05,PL,1.7459667401874563
